id,time
riseofthetigers,14813861
techpub,15662872
digidesk-io,15949564
digideskweb,16661073
icannwiki,17519619
Schoolforbasics,19957958
Datafordev,20149782
robofab-developers,4999333
hpcc-systems,900867
everypolitician,12497298
everypolitician-scrapers,18443033
FAC7,13964634
Prosciana,15067861
wekan,11725037
scaledc,4484399
chaindrive,5138724
icruby,110376
adwebfdu-org,17895510
ife-baidu-excited,17960236
BikeWhere,11990325
ai-projects,20565976
DHondtAnalyzer,22942573
github-beta,7704921
CharizTeam,11281857
SWI-Prolog,6884283
PurityROM,3604039
KitKatPurity,5829735
openscholar,611073
ScottyLabs,1393442
interxchange,10478698
watsonfestival,11341661
DzgnIO,14853811
c0deLab,17601513
Reactive-Extensions,984368
xunit,2092016
reactiveui,2327577
Humanizr,15205373
commontk,300358
openhumanoids,6392416
RobotLocomotion,6496345
EyeSeeTea,11258275
wavelets,7077619
Numergy,3084264
Hackbbs,3597715
wargames-cookbooks,5116265
redguide,6798364
sliim-cookbooks,8061576
sous-chefs,12356028
awsdocs,8661631
NukkitRu,16732323
geocodable,7415488
deliveroo,10514109
Webikon,1835864
wpsk,5745340
qgis,483444
meta-debian,12567260
cip-project,18053583
Darkmira,3945817
esgi-laboweb,15648166
ashtanga,6817113
raveup,6817445
0x0800,7085478
typed-framework,7256189
pheryjs,13084593
ForthHub,10899327
CHAOS-Community,1183664
sdelements,739346
denovogear,5043450
OpenDataSTL,5983880
lumenlearning,4550856
octopuscreative,4492702
cdlib,527964
universityofcalifornia,976698
mets,1423664
ucldc,4401758
snac-cooperative,11887149
TF2Stadium,13245135
riversidesecondary,16966199
PortCoquitlam,17660717
supremenewyork,17790806
DoubleFeature,18058270
antisocialsocialclub,18221779
bcit,19999056
cafe-natural,9942048
yixia-team,11832678
MadAppGang,5000064
