id,time
mmistakes,1376749
edgarsandi,2199147
Robpol86,3413339
jerryni,7235595
lvictorino,18822
andersonaguiar,491544
danlucas,129015
qiulin,1104806
rosstuck,146766
seppestas,1408377
teelahti,581565
vbrard,8527642
zry656565,1888508
carlosroman,717815
tomoyukikashiro,666939
jaredly,112170
kassens,11849
spicyj,6820
sebmarkbage,63648
SanderSpies,1114117
flipactual,1306968
jamesgpearce,90942
zpao,8445
sgrove,35296
jgebhardt,632968
allofthenorthwood,3123642
aadsm,78122
jryans,279572
ngyikp,6135313
nt1m,1795135
voideanvalue,1803362
jhabdas,440298
mmistakes,1376749
edgarsandi,2199147
Robpol86,3413339
jerryni,7235595
lvictorino,18822
andersonaguiar,491544
danlucas,129015
paulmillr,574696
qiulin,1104806
rosstuck,146766
seppestas,1408377
teelahti,581565
vbrard,8527642
zry656565,1888508
carlosroman,717815
tomoyukikashiro,666939
jfarcand,51285
elakito,1558648
gdrouet,2384248
simontuffs,285867
slovdahl,1417619
ArloL,195367
kensiprell,480301
altfatterz,1025546
volkdir,6514152
fdietze,1186516
4th-line,1979321
seirg,3669011
jtruelove,633168
KamBha,29766
manikantag,317299
pierreh,550177
pjvds,150387
314pe,2077285
zaksoup,296065
DanLavine,5760002
njbennett,7054163
medvedzver,1127608
ryanmoran,155736
jeffpak,4215079
dkoper,1034538
jpalermo,16798
robdimsdale,7230694
aarondl,699706
zankich,1727934
drnic,108
duncwinn,1420094
utako,1895962
nickwei84,6589231
zrob,1703742
mekaufman,13648625
Crystal4545,13760760
jeffchi,5237126
HNorlen,14332947
jbetht,12103681
April-yangzsh,13760786
sefuhrer,13558307
jenschlot,11622088
nemivant,14308233
carriemiller,12239817
sktay,11727012
kKronstainBrown,12347903
skruemcke,15000740
blumixid,13564735
vushah,8824203
jsloyer,154126
wtoorop,5214610
glenwiley,4732000
saradickinson,6229980
MelindaShore,1936680
cedespeaux,5972651
dkg,66738
ngoyal,93254
johndickinson,4339661
monkeydogma,5983848
gmadkat,6198049
nitinsinghit,545884
saghul,317464
anthonykirby,1397405
ln5,41551
paulehoffman,638939
joelpurra,1398544
neilcook,15052760
letoams,3003897
shane-kerr,1943584
schlosser,2433509
eunicekokor,5273390
bluemelodia,7966567
alanhdu,1914111
natebrennand,2801090
benlowkh,9023720
thebrianzeng,5566563
jettca,2433202
freeslugs,1843466
EvanNGoldstein,5767863
Howon,8075728
sunnybala,3474918
lifeismotley,3459541
parthibanloganathan,1872894
samw7823,5705477
mjp2220,4534415
anshulkgupta,1849365
JakeKwon,8745781
